,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
SC,0.862453531598513,0.8475836431226765,0.79182156133829,0.7360594795539034,0.7360594795539034,0.7224287484510533,0.6902106567534076,0.6765799256505576,0.6765799256505576,0.6765799256505576,0.667905824039653,0.6604708798017348,0.6517967781908303,0.630731102850062,0.6257744733581165,0.6245353159851301,0.6084262701363073,0.6071871127633209,0.5997521685254027,0.5935563816604709,0.5700123915737298,0.5613382899628253,0.5588599752168525,0.5551425030978935,0.5514250309789344,0.5452292441140025,0.530359355638166,0.5266418835192069,0.5229244114002478,0.5192069392812887,0.5179677819083024,0.516728624535316,0.516728624535316,0.5142503097893433,0.5092936802973977,0.506815365551425,0.5018587360594795,0.5018587360594795,0.5018587360594795,0.49566294919454773,0.4882280049566295,0.4882280049566295,0.48203221809169766,0.48203221809169766,0.48203221809169766,0.4634448574969021,0.46220570012391576,0.46220570012391576,0.46220570012391576,0.46220570012391576,0.459727385377943,0.44981412639405205,0.4473358116480793,0.4473358116480793,0.4436183395291202,0.4423791821561338,0.4423791821561338,0.4423791821561338,0.4423791821561338,0.4423791821561338,0.4423791821561338,0.43866171003717475,0.43742255266418834,0.4312267657992565,0.4312267657992565,0.4275092936802974,0.4275092936802974,0.4275092936802974,0.42627013630731103,0.4250309789343247,0.40024783147459725,0.40024783147459725,0.40024783147459725,0.3990086741016109,0.3990086741016109,0.3990086741016109,0.3990086741016109,0.3990086741016109,0.3990086741016109,0.3990086741016109,0.3952912019826518,0.3915737298636927,0.3915737298636927,0.3903345724907063,0.3903345724907063,0.3903345724907063,0.38909541511771994,0.3878562577447336,0.3878562577447336,0.38661710037174724,0.3853779429987608,0.38413878562577447,0.379182156133829,0.379182156133829,0.37794299876084264,0.3754646840148699,0.3754646840148699,0.3754646840148699,0.3754646840148699,0.3754646840148699
HW,0.8116480793060719,0.8413878562577447,0.8550185873605948,0.828996282527881,0.8376703841387856,0.8042131350681536,0.8042131350681536,0.8079306071871127,0.8079306071871127,0.7410161090458488,0.7311028500619579,0.7174721189591078,0.7162329615861215,0.7137546468401487,0.7149938042131351,0.6951672862453532,0.6827757125154895,0.6641883519206939,0.6617100371747212,0.6555142503097894,0.6567534076827757,0.6567534076827757,0.6579925650557621,0.6604708798017348,0.6617100371747212,0.6617100371747212,0.6146220570012392,0.6146220570012392,0.6171003717472119,0.6183395291201983,0.6195786864931846,0.6171003717472119,0.6158612143742255,0.6146220570012392,0.6146220570012392,0.5836431226765799,0.5811648079306072,0.5786864931846345,0.5662949194547707,0.5675340768277571,0.5675340768277571,0.5675340768277571,0.5675340768277571,0.5625774473358116,0.5588599752168525,0.5588599752168525,0.5576208178438662,0.5526641883519207,0.5489467162329615,0.5489467162329615,0.5477075588599752,0.5464684014869888,0.5291201982651796,0.5291201982651796,0.5278810408921933,0.5278810408921933,0.5278810408921933,0.5254027261462205,0.5229244114002478,0.5204460966542751,0.5130111524163569,0.5117719950433705,0.5080545229244114,0.506815365551425,0.5055762081784386,0.5043370508054523,0.4993804213135068,0.4993804213135068,0.4993804213135068,0.4993804213135068,0.49814126394052044,0.4993804213135068,0.4993804213135068,0.49814126394052044,0.4919454770755886,0.49070631970260226,0.49070631970260226,0.48946716232961585,0.48946716232961585,0.48079306071871125,0.48079306071871125,0.47831474597273854,0.4770755885997522,0.4758364312267658,0.4758364312267658,0.4758364312267658,0.4758364312267658,0.47335811648079307,0.4708798017348203,0.4708798017348203,0.4646840148698885,0.459727385377943,0.46096654275092935,0.46096654275092935,0.46096654275092935,0.459727385377943,0.45724907063197023,0.45724907063197023,0.45353159851301117,0.45353159851301117
SW,0.7323420074349443,0.8004956629491945,0.8413878562577447,0.8302354399008675,0.8178438661710037,0.8314745972738538,0.8277571251548946,0.8277571251548946,0.8215613382899628,0.8265179677819083,0.8302354399008675,0.8302354399008675,0.8215613382899628,0.8240396530359355,0.815365551425031,0.815365551425031,0.8178438661710037,0.8128872366790583,0.8066914498141264,0.8042131350681536,0.8004956629491945,0.7967781908302355,0.7980173482032218,0.7732342007434945,0.7496902106567535,0.748451053283767,0.7496902106567535,0.7496902106567535,0.7385377942998761,0.7323420074349443,0.7311028500619579,0.724907063197026,0.7211895910780669,0.7187112763320942,0.7174721189591078,0.7087980173482032,0.6976456009913259,0.6976456009913259,0.6939281288723668,0.6939281288723668,0.6914498141263941,0.6827757125154895,0.6802973977695167,0.6765799256505576,0.6765799256505576,0.6741016109045849,0.6741016109045849,0.6728624535315985,0.6741016109045849,0.667905824039653,0.6666666666666666,0.6641883519206939,0.6567534076827757,0.6555142503097894,0.654275092936803,0.654275092936803,0.6530359355638166,0.6431226765799256,0.6431226765799256,0.6431226765799256,0.6381660470879802,0.6394052044609665,0.6369268897149938,0.6319702602230484,0.6319702602230484,0.6332094175960347,0.6319702602230484,0.630731102850062,0.630731102850062,0.630731102850062,0.6183395291201983,0.5947955390334573,0.5935563816604709,0.5910780669144982,0.5898389095415117,0.587360594795539,0.587360594795539,0.5836431226765799,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5824039653035935,0.5811648079306072,0.5811648079306072,0.5811648079306072,0.5786864931846345,0.5774473358116481,0.5774473358116481,0.5774473358116481,0.5774473358116481
Alem_HW,0.7261462205700124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alem_SW,0.5885997521685254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
