,Fold - 1,Fold - 2,Fold - 3,Fold - 4,Fold - 5,Fold - 6,Fold - 7,Fold - 8,Fold - 9,Fold - 10,AVG
SC_test,0.8383838383838383,0.8686868686868687,0.8484848484848485,0.8888888888888888,0.8787878787878788,0.9595959595959596,0.8888888888888888,0.8787878787878788,0.8787878787878788,0.9090909090909091,0.8838383838383838
SC_train,0.9843924191750278,0.979933110367893,0.9843924191750278,0.9832775919732442,0.979933110367893,0.9843924191750278,0.9832775919732442,0.9832775919732442,0.979933110367893,0.9843924191750278,0.9827201783723524
HW_test,0.8484848484848485,0.9090909090909091,0.797979797979798,0.8888888888888888,0.8686868686868687,0.8181818181818182,0.8585858585858586,0.8686868686868687,0.8888888888888888,0.8484848484848485,0.8595959595959595
HW_train,0.9721293199554069,0.9687848383500557,0.9743589743589743,0.9710144927536232,0.9721293199554069,0.9687848383500557,0.9687848383500557,0.9698996655518395,0.9732441471571907,0.9710144927536232,0.9710144927536233
SW_test,0.9292929292929293,0.8787878787878788,0.9191919191919192,0.898989898989899,0.8787878787878788,0.9191919191919192,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.898989898989899,0.902020202020202
SW_train,0.979933110367893,0.9788182831661093,0.9843924191750278,0.9810479375696767,0.979933110367893,0.9788182831661093,0.9777034559643255,0.9788182831661093,0.9821627647714605,0.979933110367893,0.9801560758082498
